market,currency,slug,category,packLabel,indiaRetailInr,indiaFloruviInr,rate,localRetailEstimate,floruviPrice,basis
lk,LKR,potato,roots-and-stems,"1 kg",80.00,112.00,4.1875,335.00,470.00,"own median of 1"
lk,LKR,nasturtium-flowers,edible-flowers,"15–20 flowers",350.00,490.00,2.8888889,1011.11,1420.00,"produce median"
lk,LKR,viola-flowers,edible-flowers,"40 g",250.00,350.00,2.8888889,722.22,1020.00,"produce median"
lk,LKR,pansy-flowers,edible-flowers,"40 g",250.00,350.00,2.8888889,722.22,1020.00,"produce median"
lk,LKR,calendula-petals,edible-flowers,"40 g",250.00,350.00,2.8888889,722.22,1020.00,"produce median"
lk,LKR,borage-flowers,edible-flowers,"40 g",250.00,350.00,2.8888889,722.22,1020.00,"produce median"
lk,LKR,radish-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,2.8888889,375.56,530.00,"produce median"
lk,LKR,pea-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,2.8888889,375.56,530.00,"produce median"
lk,LKR,sunflower-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,2.8888889,375.56,530.00,"produce median"
lk,LKR,broccoli-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,2.8888889,375.56,530.00,"produce median"
lk,LKR,fenugreek-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,2.8888889,375.56,530.00,"produce median"
lk,LKR,red-amaranth-microgreens-live-tray,microgreens,"1 live tray",130.00,182.00,2.8888889,375.56,530.00,"produce median"
uz,UZS,butterhead-lettuce,leafy-greens,"1 head · 120–250 g",75.00,105.00,416.38889,31229.17,44000.00,"own median of 1, limited"
uz,UZS,romaine-lettuce,leafy-greens,"1 head · 120–250 g",75.00,105.00,208.19444,15614.58,22000.00,"produce median"
uz,UZS,green-oakleaf-lettuce,leafy-greens,"75 g",80.00,112.00,208.19444,16655.56,23500.00,"produce median"
uz,UZS,red-oakleaf-lettuce,leafy-greens,"250 g",210.00,294.00,208.19444,43720.83,61500.00,"produce median"
uz,UZS,lollo-rosso-lettuce,leafy-greens,"250 g",100.00,140.00,208.19444,20819.44,29500.00,"produce median"
uz,UZS,lollo-bionda-lettuce,leafy-greens,"200 g",50.00,70.00,208.19444,10409.72,15000.00,"produce median"
uz,UZS,iceberg-lettuce,leafy-greens,"200–300 g",200.00,280.00,208.19444,41638.89,58500.00,"produce median"
uz,UZS,arugula,leafy-greens,"100 g",99.00,138.60,282.72727,27990.00,39500.00,"own median of 1"
uz,UZS,spinach,leafy-greens,"250 g",75.00,105.00,416.38889,31229.17,44000.00,"own median of 2, limited"
uz,UZS,baby-kale,leafy-greens,"250 g",437.00,611.80,208.19444,90980.97,127500.00,"produce median"
uz,UZS,curly-kale,leafy-greens,"100 g",99.00,138.60,208.19444,20611.25,29000.00,"produce median"
uz,UZS,lacinato-kale,leafy-greens,"100 g",99.00,138.60,208.19444,20611.25,29000.00,"produce median"
uz,UZS,swiss-chard,leafy-greens,"100 g",99.00,138.60,208.19444,20611.25,29000.00,"produce median"
uz,UZS,bok-choy,leafy-greens,"250 g",149.00,208.60,208.19444,31020.97,43500.00,"produce median"
uz,UZS,tatsoi,leafy-greens,"250 g",149.00,208.60,208.19444,31020.97,43500.00,"produce median"
uz,UZS,mizuna,leafy-greens,"100 g",99.00,138.60,208.19444,20611.25,29000.00,"produce median"
uz,UZS,mustard-greens,leafy-greens,"200 g",38.00,53.20,208.19444,7911.39,11500.00,"produce median"
uz,UZS,watercress,leafy-greens,"100 g",169.00,236.60,208.19444,35184.86,49500.00,"produce median"
uz,UZS,sorrel,leafy-greens,"100 g",100.00,140.00,208.19444,20819.44,29500.00,"produce median"
uz,UZS,endive,leafy-greens,"250 g",55.00,77.00,208.19444,11450.69,16500.00,"produce median"
uz,UZS,radicchio,leafy-greens,"200–300 g",80.00,112.00,208.19444,16655.56,23500.00,"produce median"
uz,UZS,amaranth-greens,leafy-greens,"1 bunch · 125–150 g",75.00,105.00,208.19444,15614.58,22000.00,"produce median"
uz,UZS,fenugreek-greens,leafy-greens,"1 bunch · 150–200 g",75.00,105.00,208.19444,15614.58,22000.00,"produce median"
uz,UZS,napa-cabbage,leafy-greens,"250 g",110.00,154.00,208.19444,22901.39,32500.00,"produce median"
uz,UZS,sweet-basil,herbs,"100 g",100.00,140.00,199.8,19980.00,28000.00,"own median of 1"
uz,UZS,thai-basil,herbs,"100 g",149.00,208.60,286.33333,42663.67,60000.00,"herb median"
uz,UZS,holy-basil,herbs,"250 g",150.00,210.00,286.33333,42950.00,60500.00,"herb median"
uz,UZS,mint,herbs,"1 bunch · 125–150 g",40.00,56.00,572.66667,22906.67,32500.00,"own median of 1, limited"
uz,UZS,coriander,herbs,"1 bunch · 150–200 g",75.00,105.00,372.86667,27965.00,39500.00,"own median of 1"
uz,UZS,flat-leaf-parsley,herbs,"100 g",85.00,119.00,188,15980.00,22500.00,"own median of 1"
uz,UZS,curly-parsley,herbs,"50 g",55.00,77.00,286.33333,15748.33,22500.00,"herb median"
uz,UZS,dill,herbs,"1 bunch · 125–150 g",75.00,105.00,286.33333,21475.00,30500.00,"herb median"
uz,UZS,chives,herbs,"100 g",149.00,208.60,286.33333,42663.67,60000.00,"herb median"
uz,UZS,garlic-chives,herbs,"100 g",100.00,140.00,286.33333,28633.33,40500.00,"herb median"
uz,UZS,oregano,herbs,"100 g",150.00,210.00,286.33333,42950.00,60500.00,"herb median"
uz,UZS,thyme,herbs,"100 g",120.00,168.00,286.33333,34360.00,48500.00,"herb median"
uz,UZS,rosemary,herbs,"100 g",120.00,168.00,286.33333,34360.00,48500.00,"herb median"
uz,UZS,sage,herbs,"100 g",150.00,210.00,286.33333,42950.00,60500.00,"herb median"
uz,UZS,lemon-balm,herbs,"100 g",100.00,140.00,286.33333,28633.33,40500.00,"herb median"
uz,UZS,shiso,herbs,"100 g",85.00,119.00,286.33333,24338.33,34500.00,"herb median"
uz,UZS,chervil,herbs,"100 g",100.00,140.00,286.33333,28633.33,40500.00,"herb median"
uz,UZS,tarragon,herbs,"100 g",100.00,140.00,286.33333,28633.33,40500.00,"herb median"
uz,UZS,marjoram,herbs,"100 g",40.00,56.00,286.33333,11453.33,16500.00,"herb median"
uz,UZS,lemongrass,herbs,"100 g",30.00,42.00,286.33333,8590.00,12500.00,"herb median"
uz,UZS,broccoli-microgreens,microgreens,"25 g",160.00,224.00,208.19444,33311.11,47000.00,"produce median"
uz,UZS,radish-microgreens,microgreens,"50 g",200.00,280.00,208.19444,41638.89,58500.00,"produce median"
uz,UZS,pea-shoots,microgreens,"50 g",200.00,280.00,208.19444,41638.89,58500.00,"produce median"
